32.7157, 117.1611
34.0522, 118.2437
37.7749, 122.4194
45.5231, 122.6765
47.6062, 122.3321
43.6187, 116.2146
36.1699, 115.1398
40.7608, 111.8910
33.4484, 112.0740
35.6870, 105.9378
39.7392, 104.9903
41.1400, 104.8202
46.5884, 112.0245
46.8083, 100.7837
44.3683, 100.3510
41.2524, 95.9980
39.0558, 95.6890
35.4676, 97.5164
30.2672, 97.7431
29.9511, 90.0715
34.7465, 92.2896
39.0997, 94.5786
41.6005, 93.6091
44.9778, 93.2650
43.0731, 89.4012
41.8781, 87.6298
36.1627, 86.7816
32.2988, 90.1848
33.5207, 86.8025
38.2009, 84.8733
39.7684, 86.1581
42.3314, 83.0458
39.9612, 82.9988
42.6526, 73.7562
44.4759, 73.2121
43.2081, 71.5376
44.3106, 69.7795
42.3601, 71.0589
41.3083, 72.9279
40.7128, 74.0059
39.9526, 75.1652
38.9072, 77.0369
38.3498, 81.6326
37.5407, 77.4360
35.7796, 78.6382
32.7765, 79.9311
33.7490, 84.3880
25.7617, 80.1918
